Flavour, Time since last tick, Framerate, Boids on screen
CPUseq, 122314, 86.6573654427758, 1557
CPUseq, 110508, 92.5274806617565, 1558
CPUseq, 131722, 78.0506080142364, 1562
CPUseq, 109002, 93.7866354044549, 1563
CPUseq, 102583, 103.905819764965, 1572
CPUseq, 109608, 96.3511807837205, 1575
CPUseq, 117342, 87.1535645807914, 1582
CPUseq, 107214, 95.322523759139, 1584
CPUseq, 117747, 88.4212387815553, 1588
CPUseq, 102374, 103.50466806053, 1591
CPUseq, 144434, 73.6111417824202, 1595
CPUseq, 107643, 95.0163903273315, 1597
CPUseq, 102400, 103.445778894992, 1603
CPUseq, 127130, 82.3573981650772, 1609
CPUseq, 122325, 83.2882188814392, 1614
CPUseq, 103367, 102.759081333813, 1616
CPUseq, 129604, 81.2519297333312, 1623
CPUseq, 113209, 90.146126871659, 1625
CPUseq, 115572, 88.3204974210415, 1631
CPUseq, 104135, 101.435309631283, 1633
CPUseq, 123518, 85.6223028974587, 1640
CPUseq, 106594, 95.9453495289083, 1642
CPUseq, 131982, 77.7889275240562, 1646
CPUseq, 118511, 86.3386374036245, 1648
CPUseq, 123112, 82.7389915771707, 1652
CPUseq, 132339, 76.8799058989952, 1655
CPUseq, 104471, 101.055014349812, 1659
CPUseq, 127166, 85.2108115477692, 1664
CPUseq, 104078, 98.1999941080004, 1669
CPUseq, 158262, 65.2537064105241, 1674
CPUseq, 111268, 92.2739058621612, 1676
CPUseq, 103645, 99.4055547824012, 1679
CPUseq, 119276, 85.4861597907299, 1684
CPUseq, 126130, 80.7669630814212, 1687
CPUseq, 116115, 87.7901464339643, 1692
CPUseq, 121852, 83.6953155731874, 1695
CPUseq, 104264, 98.0363322647373, 1698
CPUseq, 125632, 81.0438447199935, 1704
CPUseq, 127471, 79.9168864381044, 1708
CPUseq, 119262, 85.4452552249774, 1711
CPUseq, 113221, 90.1168815954293, 1718
CPUseq, 105210, 97.1401927261424, 1720
CPUseq, 106616, 95.8772770853308, 1727
CPUseq, 123507, 82.5382151936346, 1731
CPUseq, 107242, 95.3025379065845, 1737
CPUseq, 108536, 94.1096754157295, 1743
CPUseq, 127395, 79.9648154811883, 1748
CPUseq, 130784, 77.844637672134, 1751
CPUseq, 135259, 75.1924927815207, 1755
CPUseq, 126951, 80.188603595657, 1759
CPUseq, 117837, 86.6340922479814, 1765
CPUseq, 130189, 78.1793590856142, 1767
CPUseq, 127625, 79.8473319014045, 1773
CPUseq, 119348, 85.8951563721322, 1775
CPUseq, 117829, 86.5261482019866, 1779
CPUseq, 119181, 86.4349058723875, 1783
CPUseq, 153752, 66.0759476942798, 1787
CPUseq, 128654, 80.7917592405575, 1789
CPUseq, 122376, 83.922187347891, 1791
CPUseq, 131731, 77.3221783204076, 1796
CPUseq, 134138, 76.57378266829, 1799
CPUseq, 112705, 90.5469032959073, 1801
CPUseq, 132472, 77.2415497744547, 1808
CPUseq, 140121, 72.546302677684, 1810
CPUseq, 134937, 75.3500007535, 1814
CPUseq, 114199, 89.3247938830381, 1815
CPUseq, 113346, 90.00009000009, 1819
CPUseq, 152855, 66.4213504788979, 1820
CPUseq, 139708, 72.9330766089037, 1823
CPUseq, 116823, 87.3843249997815, 1824
CPUseq, 116280, 87.7477777875275, 1828
CPUseq, 130060, 78.2913691594639, 1829
CPUseq, 126524, 80.4628221530242, 1834
CPUseq, 127830, 80.9343056241249, 1836
CPUseq, 131761, 77.5289958444458, 1840
CPUseq, 129597, 81.0931354660828, 1841
CPUseq, 128959, 78.9440444612858, 1843
CPUseq, 131210, 77.5404179428527, 1844
CPUseq, 128013, 79.5051598848765, 1848
CPUseq, 183057, 55.3826386504359, 1850
CPUseq, 174916, 57.929372509037, 1852
CPUseq, 122116, 83.4801192096102, 1853
CPUseq, 120206, 84.850027576259, 1855
CPUseq, 119863, 85.0651173473294, 1856
CPUseq, 128390, 79.7479963315922, 1861
CPUseq, 135728, 75.3221906705935, 1863
CPUseq, 125897, 81.3775593242408, 1866
CPUseq, 120948, 84.7637211273575, 1869
CPUseq, 131436, 77.408367844564, 1872
CPUseq, 146170, 69.5033292094691, 1873
